名前,種別,得意練習,役割,金特_野手時,金特_投手時,金特依存,上限UP,覚醒,イベント,URL
伊貫大和,投手,コントロール,スナイパー,なし,精密機械(確定),-,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/14088
森河岳,野手,走塁,レンジャー,鉄人(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/14087
桜ノ宮総司,野手,肩力,バウンサー,なし球界の頭脳(確定),なし,-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/14086
氷上聡里,彼女,,ガード,左キラー(野手)(確定),変幻自在(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/14085
結城哲也,野手,打撃,レンジャー,勝負師(不確定),強心臓(不確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/13572
丹波光一郎,投手,変化球,レンジャー,なし,驚異の切れ味(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/13571
川上憲史,投手,コントロール,レンジャー,なし,不屈の魂(不確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/13440
小湊亮介,野手,守備,ガード,魔術師(確定),強心臓(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/13418
増子透,野手,筋力,ガード,一球入魂(不確定),鉄腕(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/13417
伊佐敷純,野手,肩力,レンジャー,高速レーザー(確定),怪物球威(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/13416
清本和重,野手,筋力,ガード,アーチスト(不確定),なし,不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/13255
成宮鳴,投手,球速,バウンサー,伝説のサヨナラ男(確定),ドクターK(確定)¶変幻自在(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12957
神谷カルロス俊樹,野手,走塁,レンジャー,高速ベースラン(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/12956
白河勝之,野手,打撃,バウンサー,芸術的流し打ち(確定),本塁打厳禁(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/12955
多田野樹,野手,メンタル,ガード,気迫ヘッド(確定)鉄の壁(確定),不屈の魂(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12954
倉持洋一,野手,走塁,ガード,電光石火(確定)＋看破(不確定),走者釘付(確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12722
三島優太,投手,スタミナ,ガード,勝負師(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12518
真田俊平,投手,球速,バウンサー,恐怖の満塁男(不確定),強心臓(不確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/12517
轟雷市,野手,筋力,ガード,アーチスト(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12516
秋葉一真,野手,打撃,バウンサー,ストライク送球(確定),走者釘付(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/12515
パピヨン,投手,コントロール,ガード,一発逆転王(確定),怪童(確定)¶驚異の切れ味(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12407
沢村栄純,投手,スタミナ,ガード,左キラー(野手)(確定),変幻自在(確定)¶クロスキャノン(確定)¶みなぎる活力(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12020
御幸一也,野手,守備,レンジャー,ストライク送球(確定)球界の頭脳(確定)＋ストライク送球(不確定),走者釘付(確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/12019
小湊春市,野手,打撃,バウンサー,安打製造機(確定)＋つるべ打ち(不確定),本塁打厳禁(確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/12018
降谷暁,投手,球速,ガード,勝負師(確定),怪童(確定)¶ドクターK(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/12017
調子くん,サポート,,ガード,なし鉄の壁(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/11883
夏野向日葵,野手,守備,レンジャー,ストライク送球(確定),なし,-,守備力+4(PSR覚醒時のみ),［SR］得意練習率UP20％¶［PSR］守備力上限UP4,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/11699
八尺巫女子,選手兼彼女+野手,走塁,レンジャー,切り込み隊長(確定),なし,-,走力+4(PSR覚醒時),［SR］やる気効果UP50％¶［PSR］走力上限UP4,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/11619
矢部田亜希子,野手,走塁,レンジャー,切り込み隊長(確定),なし,-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/11618
明星雪華,彼女,,ガード,一球入魂(不確定),驚異の切れ味(不確定),不明,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/11617
小嵐リョウ,選手兼彼女+野手,守備,ガード,魔術師(確定),なし,-,なし,［SR］初期評価20¶［PSR］練習効果UP30％,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/11616
美園千花,選手兼彼女+野手,筋力,ガード,鉄人(確定)球界の頭脳(確定),なし,-,守備力+4(PSR覚醒時),［SR］練習効果UP20％¶［PSR］守備力上限UP4,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/11614
小鷹美麗,野手,守備,ガード,ストライク送球(確定)¶切磋琢磨(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/11589
アンヌ,投手,球速,バウンサー,なし,怪物球威(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/11588
有村佐治,野手,肩力,レンジャー,鉄人(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10836
[巫女]早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10832
[巫女]橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10829
香本富久雄,野手,筋力,ガード,勝負師(確定)鉄の壁(確定),鉄腕(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10826
[巫女]六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10820
川星ほむら,野手,走塁,レンジャー,気迫ヘッド(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10819
大鐘餅太郎,野手,守備,バウンサー,左キラー(野手)(確定),左キラー(投手)(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10818
銭形乱蔵,投手,守備,レンジャー,勝負師(不確定),強心臓(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10814
九十九宇宙,野手,肩力,スナイパー,高速レーザー(確定)＋ストライク送球(不確定),なし,不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10812
[サンタ]早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10806
ブロンコ＝リー,野手,メンタル,レンジャー,アーチスト(不確定),怪童(不確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10803
美藤千尋,野手,打撃,バウンサー,安打製造機(確定)¶ヒートアップ(確定)¶孤軍奮闘(確定),安打製造機(確定)¶孤軍奮闘(確定),-,なし,［SR］精神ボーナス10¶［PSR］練習効果UP20％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10802
三森左京,野手,走塁,バウンサー,高速ベースラン(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10800
武秀英,野手,打撃,レンジャー,勝負師(不確定)¶ヒートアップ(確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10799
[サンタ]橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10798
[サンタ]六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10794
渋谷秀喜,野手,筋力,ガード,伝説のサヨナラ男(不確定),なし,不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10792
鎌刈善二,野手,打撃,バウンサー,一球入魂(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10791
猛田慶次,野手,メンタル,レンジャー,伝説のサヨナラ男(確定)＋勝負師(不確定),強心臓(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］やる気効果UP75％,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10782
蛇島桐人,野手,守備,ガード,魔術師(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10738
城井伯斎,野手,守備,ガード,切り込み隊長(不確定),不屈の魂(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10729
中之島幸宏,野手,打撃,バウンサー,電光石火(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10727
六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10726
嵐丸士朗,投手,メンタル,レンジャー,鉄人(不確定),鉄腕(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10725
大西＝ハリソン＝筋金,投手,スタミナ,ガード,なし,鉄腕(確定),-,なし,［SR］筋力ボーナス10¶［PSR］やる気効果UP75％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10724
鶴屋勝,投手,コントロール,スナイパー,なし,左キラー(投手)(不確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10721
阿畑やすし,投手,変化球,レンジャー,なし,オリジナル変化球(確定)¶本塁打厳禁(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10706
鮫島粂太郎,野手,筋力,ガード,一球入魂(確定),なし,-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10702
浜崎庄司,投手,コントロール,ガード,なし,不屈の魂(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10701
小田切巧,野手,守備,ガード,代打の神様(確定),不屈の魂(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10696
橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10695
鈴本大輔,投手,コントロール,バウンサー,なし,精密機械(不確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10693
早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),マリンボール : 変化量(総変14で担当の体感7割前後),なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10663
宇渡幹久,野手,筋力,ガード,重戦車(確定),強心臓(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10662
佐久間博,野手,打撃,バウンサー,芸術的流し打ち(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10661
三森右京,野手,走塁,バウンサー,電光石火(不確定),なし,不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10639
久方怜,投手,コントロール,スナイパー,安打製造機(不確定),驚異の切れ味(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP20％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10616
青葉春人,投手,球速,レンジャー,なし,超真魔球改(不確定)＋不屈の魂(確定),不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10586
矢部明雄,野手,走塁,レンジャー,高速ベースラン(確定)＋走力バースト(不確定),なし,走力バースト : 走力(Sで担当の体感3割前後),走力+4(PSR覚醒時のみ),［SR］タッグボーナス50％¶［PSR］走力上限UP4,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10585
星井スバル,投手,変化球,レンジャー,ストライク送球(確定)¶球界の頭脳(確定),スタードライブ(不確定),スタードライブ : 総変化量(総変14で担当の体感8割前後),なし,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10558
山口賢,投手,変化球,レンジャー,エースキラー(確定)¶内角必打(確定),強心臓(確定)¶内無双(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10556
烏丸剛充,投手,スタミナ,ガード,なし,不屈の魂(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10553
春野千優,彼女,,ガード,鉄人(確定),走者釘付(確定),-,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10533
京野小筆,彼女,,ガード,安打製造機(確定)¶アーチスト(確定),精密機械(確定)¶鉄腕(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10532
友沢亮,野手,肩力,スナイパー,安打製造機(不確定),なし,不明,ミート+4(PSR覚醒時のみ),［SR］試合経験点ボーナス20％¶［PSR］ミート上限UP4,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10530
才賀侑人,野手,打撃,バウンサー,一球入魂(確定),なし,-,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP20％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10529
猪狩進,野手,守備,ガード,挑発(確定)¶看破(確定)球界の頭脳(確定),ジャストフィット(確定),-,ミート+4(PSR覚醒時のみ),［SR］得意練習率UP20％¶［PSR］ミート上限UP4,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10528
滝本太郎,野手,筋力,ガード,アーチスト(不確定)¶安打製造機(不確定)¶勝負師(不確定),なし,不明,なし,［SR］タッグボーナス30％¶［PSR］筋力ボーナス10,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10527
鋼毅,投手,スタミナ,ガード,アーチスト(確定),怪童(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10526
少豪月剛,野手,筋力,ガード,一球入魂(不確定),ドクターK(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10524
田中山太郎,野手,守備,ガード,魔術師(不確定),なし,不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10523
小平陽向,野手,メンタル,バウンサー,切り込み隊長(確定)＋一番槍(不確定),走者釘付(確定),-,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10522
猪狩守,投手,球速,レンジャー,切磋琢磨(確定),ライジングキャノン(不確定)¶ライジングショット(不確定)¶鉄腕(確定),不明,なし,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10521
樽本有太,投手,球速,バウンサー,なし,怪物球威(不確定),不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10515
田中将大,投手,球速,ガード,なし,エアロスプリット(不確定),不明,なし,［SR］得意練習率UP20％¶［PSR］コントロール上限UP4,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10444
太刀川広巳,投手,変化球,レンジャー,なし,怪物球威(確定)＋鉄腕(不確定),鉄腕 : 不明,なし,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/10443
茶来元気,野手,守備,レンジャー,切り込み隊長(不確定),なし,不明,なし,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/10405
